1|ab|aaa.jpg||5|ab|from|-tól
2|abbiegen|aaa.jpg||6|abbiegen|turn|fordulni
3|abend|aaa.jpg||2|Abend|evening|est
4|abendessen|aaa.jpg||3|Abendessen|supper|vacsora
5|aber|aaa.jpg||2|aber|but, however|de
6|abfahren|aaa.jpg||7|abfahren|drive away, depart|elindulni, elhajtani
7|abfahrt|aaa.jpg||8|Abfahrt|departure|indulás
8|abfliegen|aaa.jpg||5|abfliegen|fly off, fly away|elrepülni
9|abgas|aaa.jpg||5|Abgas|exhaust|kipufogógáz
10|abgeben|aaa.jpg||6|abgeben|deliver, turn in|beadni, benyújtani
11|abgeordnete|aaa.jpg||7|Abgeordnete|deputy|képviselő
12|abhaengen|aaa.jpg||8|abhängen|depend|függeni
13|abhaengig|aaa.jpg||5|abhängig|dependent|függő
14|abheben|aaa.jpg||6|abheben|lift up, withdraw money from a bank|felemelni, pénzt felvenni
15|abholen|aaa.jpg||7|abholen|pick up|elhozni
16|abitur|aaa.jpg||8|Abitur|graduation exam|érettségi vizsga 
17|ablehnen|aaa.jpg||5|ablehnen|decline|elutasítani
18|abmachen|aaa.jpg||6|abmachen|arrange|intézni, megállapodni
19|abnehmen|aaa.jpg||7|abnehmen|lose weight, take off |lefogyni
20|abreise|aaa.jpg||4|Abreise|departure|elutazás
21|abreisen|aaa.jpg||4|abreisen|depart|elutazni
22|abschliessen|aaa.jpg||5|abschließen|lock|lezárni
23|abschnitt|aaa.jpg||6|Abschnitt|segment, selection, paragraph|rész, szakasz
24|absender|aaa.jpg||7|Absender|sender|feladó
25|absicht|aaa.jpg||6|Absicht|intention, intent|szándék
26|abstimmen|aaa.jpg||8|abstimmen|vote|szavazni
27|abteilung|aaa.jpg||5|Abteilung|department|részleg
28|abundzu|aaa.jpg||6|ab und zu|now and then|időnként
29|abwaerts|aaa.jpg||7|abwärts|down, downwards|lefelé
30|ach|aaa.jpg||8|ach|oh! (exclamation), alas!|oh
31|acht|acht.jpg|László Erdős|1|acht|eight|nyolc
32|achten|aaa.jpg||5|achten|pay attention, respect|odafigyelni, tisztelni
33|achtgeben|aaa.jpg||8|achtgeben|care for|ügyelni
34|achtung|aaa.jpg||2|Achtung|attention|vigyázat, figyelem
35|achtzig|achtzig.jpg|László Erdős|1|achtzig|eighty|nyolcvan
36|adresse|aaa.jpg||6|Adresse|address|cím
37|aehnlich|aaa.jpg||7|ähnlich|similar|hasonló
38|aengstlich|aaa.jpg||3|ängstlich|anxious, fearful|félős
39|aergerlich|aaa.jpg||8|ärgerlich|annoyed, angry|bosszantó, dühös, mérges
40|affe|aaa.jpg||1|Affe|monkey|majom
41|aktiv|aaa.jpg||5|aktiv|active|aktív
42|aktuell|aaa.jpg||6|aktuell|current, present day|aktuális, jelenlegi
43|alarm|aaa.jpg||7|Alarm|alarm|riadó
44|alkohol|aaa.jpg||8|Alkohol|alcohol|alkohol
45|allein|aaa.jpg||2|allein|alone|egyedül
46|allenfalls|aaa.jpg||8|allenfalls|certainly, in any case|mindenesetre
47|aller|aaa.jpg||8|aller-|all|mind, mindösszesen
48|allerdings|aaa.jpg||7|allerdings|indeed, certainly|azonban, sőt, minden bizonnyal
49|alles|aaa.jpg||2|alles|all, whole|minden
50|allgemein|aaa.jpg||5|allgemein|general|általában
51|allmaehlich|aaa.jpg||6|allmählich|gradually, by and by|fokozatosan
52|alltag|aaa.jpg||7|Alltag|every day|mindennapi, minden nap
53|also|aaa.jpg||8|also|so, therefore|tehát, ezért
54|alswie|aaa.jpg||3|als, wie|as, like|mint
55|alt|aaa.jpg||2|alt|old|öreg, régi
56|alter|aaa.jpg||5|Alter|age|életkor
57|alternativ|aaa.jpg||6|alternativ|alternative|alternatív, másodlagos
58|ameise|aaa.jpg||1|Ameise|ant|hangya
59|ampel|aaa.jpg||7|Ampel|traffic light|közlekedési lámpa
60|amt|aaa.jpg||4|Amt|office, official duty|hivatal
61|amuesieren|aaa.jpg||8|amüsieren|amuse|szórakozni, tréfálni
62|an|aaa.jpg||8|an|by, on (vertical position)|-nál, -nél
63|analysieren|aaa.jpg||7|analysieren|analyze|elemezni
64|anbieten|aaa.jpg||7|anbieten|offer|ajánlani, felajánlani
65|ander|aaa.jpg||5|ander-|different, other|más, különböző
66|anders|aaa.jpg||6|anders|differently|más, különböző
67|anfang|aaa.jpg||3|Anfang|start, beginning|kezdet
68|anfangen|aaa.jpg||3|anfangen|begin, start|kezdeni, elkezdeni
69|anfangs|aaa.jpg||7|anfangs|in the beginning, at first|kezdetben, először
70|anfassen|aaa.jpg||7|anfassen|touch|megérinteni, megfogni
71|angeblich|aaa.jpg||8|angeblich|alleged|állítólag, feltehetően
72|angebot|aaa.jpg||8|Angebot|offer|ajánlat
73|angehen|aaa.jpg||5|angehen|approach|megközelítés
74|angehoerige|aaa.jpg||6|Angehörige|relative, dependent|hozzátartozó
75|angemeldetsein|aaa.jpg||7|angemeldet sein|be registered|bejelentett, regisztrált
76|angenehm|aaa.jpg||7|angenehm|pleasant, agreeable|kellemes
77|angestellte|aaa.jpg||8|Angestellte|employee|alkalmazott
78|angst|aaa.jpg||8|Angst|fear|félelem
79|anhaben|aaa.jpg||5|anhaben|have on, wear|hordani, viselni (ruhát)
80|ankleiden|aaa.jpg||5|ankleiden|dress|öltözködni
81|ankommen|aaa.jpg||3|ankommen|arrive|érkezni, megérkezni
82|ankunft|aaa.jpg||3|Ankunft|arrivel|érkezés
83|anlage|aaa.jpg||6|Anlage|investment|befektetés
84|anmachen|aaa.jpg||7|anmachen|turn on|bekapcsolni
85|anmeldung|aaa.jpg||7|Anmeldung|registration|bejelentkezés, regisztráció
86|annehmen|aaa.jpg||8|annehmen|accept, admit, assume|elfogadni, elismerni
87|anruf|aaa.jpg||8|Anruf|call|hívás
88|anrufen|aaa.jpg||5|anrufen|call up, telephone|felhívni, telefonálni
89|anschauen|aaa.jpg||6|anschauen|look at|megnézni
90|anscheinend|aaa.jpg||7|anscheinend|apparent(ly), seeming(ly)|látszólag
91|anschliessen|aaa.jpg||6|anschließen|connect|kapcsolni
92|anschluss|aaa.jpg||4|Anschluss|connection|kapcsolat
93|ansehen|aaa.jpg||7|ansehen|look at|nézni, megnézni
94|ansicht|aaa.jpg||7|Ansicht|opinion, view|vélemény, nézet
95|anspruch|aaa.jpg||6|Anspruch|claim, right|igény
96|anstrengen|aaa.jpg||8|anstrengen|strain|erőt kifejteni
97|antrag|aaa.jpg||2|Antrag|application, request|kérelem
98|antwort|aaa.jpg||2|Antwort|answer|válasz
99|antworten|aaa.jpg||2|antworten|answer|válaszolni
100|anwesend|aaa.jpg||5|anwesend|present|jelenleg
101|anzeige|aaa.jpg||6|Anzeige|advertisement|hírdetés
102|anziehen|aaa.jpg||7|anziehen|put on (clothes), get dressed|felöltözni
103|anzuenden|aaa.jpg||4|anzünden|light (on fire)|meggyújtani
104|anzug|aaa.jpg||5|Anzug|suit|öltöny
105|apfel|apfel.jpg|Tünde Erdős|1|Apfel|apple|alma
106|apotheke|aaa.jpg||2|Apotheke|pharmacy|gyógyszertár, patika
107|apparat|aaa.jpg||7|Apparat|apparatus, appliance, telephone|készülék
108|appetit|aaa.jpg||3|Appetit|appetite|étvágy
109|arbeit|aaa.jpg||2|Arbeit|work|munka, dolog
110|arbeiten|aaa.jpg||2|arbeiten|work|dolgozni
111|arbeiter|aaa.jpg||3|Arbeiter|worker|munkás
112|arbeitgeber|aaa.jpg||7|Arbeitgeber|employer|munkaadó
113|arbeitnehmer|aaa.jpg||8|Arbeitnehmer|employee|munkavállaló
114|arm|aaa.jpg||2|Arm|arm|kar
115|arm|aaa.jpg||5|arm|poor|szegény
116|armbanduhr|aaa.jpg||5|Armbanduhr|watch|karóra
117|art|aaa.jpg||8|Art|nature, kind, type|fajta, típus
118|artikel|aaa.jpg||3|Artikel|article|cikk
119|artz|aaa.jpg||2|Arzt|doctor|orvos, doktor
120|asyl|aaa.jpg||8|Asyl|asylum|menekült
121|atmen|aaa.jpg||5|atmen|breathe|lélegezni
122|auch|aaa.jpg||2|auch|also|is, szintén
123|auf|aaa.jpg||2|auf|on, on top of|-on, -en, -ön
124|aufenthalt|aaa.jpg||5|Aufenthalt|stay|tartózkodás
125|auffallend|aaa.jpg||7|auffallend|striking|feltűnő
126|auffordern|aaa.jpg||6|auffordern|ask, request|kihívás
127|aufgabe|aaa.jpg||7|Aufgabe|assignment, task|feladat
128|aufgeben|aaa.jpg||7|aufgeben|send, turn in, give up|feladni
129|aufheben|aaa.jpg||8|aufheben|lift up, pick up|felemelni
130|aufhoeren|aaa.jpg||8|aufhören|stop|abbahagyni
131|aufmachen|aaa.jpg||5|aufmachen|open|kinyitni
132|aufmerksam|aaa.jpg||6|aufmerksam|attentive|figyelmes
133|aufmerksamkeit|aaa.jpg||7|Aufmerksamkeit|attention|figyelmesség
134|aufpassen|aaa.jpg||5|aufpassen|care, pay attention|vigyázni
